time,mass,altitude,speed
1,172250,108.01,1
2,171530,110.31,3
3,170780,115.06,6
4,170060,121.93,8
5,169320,131.53,11
6,168600,143.17,13
7,167850,157.86,16
8,167130,174.48,18
9,166380,194.45,21
10,165660,216.27,24
11,164910,241.77,26
12,164200,269.0,29
13,163450,300.25,32
14,162730,333.11,35
15,161980,370.34,38
16,161260,409.06,41
17,160510,452.49,44
18,159800,497.3,47
19,159050,547.19,51
20,158330,598.3,54
21,157580,654.88,57
22,156860,712.53,60
23,156110,776.03,64
24,155390,840.46,67
25,154650,911.13,71
26,153930,982.56,75
27,153180,1060.65,78
28,152460,1139.32,82
29,151710,1225.05,86
30,150990,1311.19,90
31,150250,1404.83,94
32,149530,1498.68,98
33,148780,1600.46,102
34,148060,1702.25,106
35,147310,1812.42,110
36,146590,1922.39,114
37,145850,2041.21,119
38,145130,2159.6,123
39,144380,2287.31,127
40,143660,2414.37,132
41,142910,2551.23,136
42,142190,2687.22,141
43,141440,2833.5,146
44,140730,2978.66,150
45,139980,3134.63,155
46,139260,3289.24,160
47,138510,3455.18,165
48,137790,3619.51,170
49,137040,3795.72,175
50,136330,3970.05,180
51,135580,4156.82,186
52,134860,4341.45,191
53,134110,4539.09,196
54,133390,4734.32,202
55,132640,4943.16,208
56,131920,5149.31,213
57,131180,5369.69,219
58,130460,5587.09,225
59,129710,5819.35,231
60,128990,6048.36,237
61,128240,6292.88,243
62,127520,6533.86,249
63,126780,6791.04,255
64,126060,7044.38,262
65,125310,7314.64,268
66,124590,7580.75,275
67,123840,7864.52,282
68,123120,8143.73,288
69,122380,8441.25,295
70,121660,8733.83,302
71,120910,9045.49,309
72,120190,9351.94,316
73,119440,9678.37,324
74,118720,9999.34,331
75,117980,10341.23,339
76,117260,10677.37,347
77,116510,11035.38,355
78,115790,11387.36,363
79,115040,11762.22,372
80,114310,12138.36,380
81,113560,12531.03,389
82,112840,12917.07,398
83,112110,13320.05,408
84,111390,13724.05,417
85,110640,14154.3,427
86,109920,14577.27,436
87,109170,15027.71,447
88,108460,15470.51,457
89,107710,15942.04,468
90,106990,16405.55,478
91,106240,16899.1,489
92,105520,17384.2,500
93,104770,17900.68,512
94,104050,18408.25,524
95,103310,18948.59,536
96,102590,19479.51,548
97,101840,20044.6,560
98,101120,20599.74,573
99,100370,21190.48,586
100,99650,21770.68,598
101,98910,22387.93,612
102,98190,22994.04,625
103,97440,23638.68,639
104,96720,24271.52,653
105,95970,24944.44,667
106,95250,25604.87,681
107,94510,26306.96,696
108,93790,26995.85,710
109,93040,27728.01,725
110,92320,28446.25,740
111,91570,29209.42,756
112,90850,29957.89,771
113,90100,30753.02,788
114,89390,31532.66,803
115,88640,32360.7,820
116,87920,33172.44,836
117,87170,34034.39,854
118,86450,34879.18,870
119,85700,35776.05,888
120,84990,36654.89,905
121,84240,37587.71,924
122,83520,38501.6,941
123,82770,39471.44,960
124,82050,40421.43,979
125,81300,41429.39,998
126,80580,42416.54,1017
127,79840,43463.76,1037
128,79120,44489.18,1056
129,78370,45576.81,1077
130,77650,46641.64,1097
131,76900,47770.91,1118
132,76180,48876.34,1138
133,75440,50048.49,1160
134,74720,51195.74,1181
135,73970,52412.07,1204
136,73250,53602.42,1226
137,72500,54864.29,1249
138,71780,56099.05,1271
139,71040,57407.85,1295
140,70320,58688.39,1318
141,69570,60045.58,1343
142,68850,61373.34,1367
143,68100,62780.43,1392
144,67380,64156.88,1417
145,66630,65615.45,1443
146,65920,67042.14,1469
147,65170,68553.83,1496
148,64450,70032.36,1522
149,63700,71598.96,1550
150,62980,73131.11,1577
151,62230,74754.33,1606
152,61520,76341.77,1634
153,60770,78023.48,1664
154,60050,79668.03,1693
155,59300,81410.18,1724
156,58580,83113.77,1754
157,57830,84918.41,1785
158,27360,86680.53,1805
159,27140,88509.41,1795
160,26940,90276.33,1811
161,26730,92132.45,1829
162,26530,93932.42,1845
163,26320,95823.41,1863
164,26110,97657.33,1880
165,25900,99584.13,1899
166,25700,101452.93,1916
167,25490,103416.52,1935
168,25280,105321.13,1953
169,25070,107322.5,1972
170,24870,109263.9,1991
171,24660,111304.08,2011
172,24460,113283.28,2030
173,24240,115363.32,2050
174,24040,117381.33,2070
175,23830,119502.33,2090
176,23630,121560.22,2111
177,23420,123723.28,2132
