time, mass, altitude, speed
1.00, 172333.29, 1.39, 3.03
2.00, 171656.56, 6.07, 6.35
3.00, 170979.80, 14.10, 9.73
4.00, 170302.99, 25.54, 13.16
5.00, 169626.11, 40.44, 16.64
6.00, 168949.14, 58.85, 20.18
7.00, 168272.07, 80.81, 23.76
8.00, 167594.88, 106.39, 27.40
9.00, 166917.55, 135.62, 31.08
10.00, 166240.05, 168.57, 34.82
11.00, 165562.38, 205.28, 38.61
12.00, 164884.51, 245.80, 42.45
13.00, 164206.43, 290.19, 46.34
14.00, 163528.11, 338.49, 50.28
15.00, 162849.53, 390.76, 54.27
16.00, 162170.68, 447.05, 58.32
17.00, 161491.54, 507.41, 62.42
18.00, 160812.08, 571.90, 66.56
19.00, 160132.30, 640.56, 70.76
20.00, 159452.16, 713.44, 75.02
21.00, 158771.65, 790.60, 79.32
22.00, 158090.75, 872.09, 83.68
23.00, 157409.44, 957.96, 88.08
24.00, 156727.70, 1048.27, 92.54
25.00, 156045.52, 1143.06, 97.06
26.00, 155362.87, 1242.38, 101.62
27.00, 154679.74, 1346.30, 106.24
28.00, 153996.11, 1454.86, 110.91
29.00, 153311.96, 1568.12, 115.63
30.00, 152627.27, 1686.13, 120.41
31.00, 151942.02, 1808.94, 125.24
32.00, 151256.20, 1936.60, 130.12
33.00, 150569.79, 2069.17, 135.05
34.00, 149882.78, 2206.70, 140.05
35.00, 149195.15, 2349.25, 145.09
36.00, 148506.88, 2496.88, 150.19
37.00, 147817.96, 2649.62, 155.34
38.00, 147128.37, 2807.55, 160.55
39.00, 146438.10, 2970.71, 165.82
40.00, 145747.14, 3139.17, 171.14
41.00, 145055.47, 3312.97, 176.51
42.00, 144363.08, 3492.17, 181.95
43.00, 143669.97, 3676.84, 187.44
44.00, 142976.11, 3867.02, 192.99
45.00, 142281.51, 4062.78, 198.59
46.00, 141586.15, 4264.18, 204.26
47.00, 140890.02, 4471.27, 209.98
48.00, 140193.11, 4684.11, 215.77
49.00, 139495.42, 4902.77, 221.62
50.00, 138796.95, 5127.30, 227.52
51.00, 138097.69, 5357.76, 233.49
52.00, 137397.63, 5594.23, 239.53
53.00, 136696.77, 5836.76, 245.62
54.00, 135995.12, 6085.42, 251.78
55.00, 135292.67, 6340.27, 258.01
56.00, 134589.41, 6601.38, 264.31
57.00, 133885.36, 6868.81, 270.67
58.00, 133180.52, 7142.65, 277.10
59.00, 132474.88, 7422.94, 283.60
60.00, 131768.46, 7709.77, 290.18
61.00, 131061.26, 8003.21, 296.82
62.00, 130353.29, 8303.32, 303.54
63.00, 129644.56, 8610.19, 310.34
64.00, 128935.07, 8923.90, 317.21
65.00, 128224.85, 9244.51, 324.16
66.00, 127513.89, 9572.10, 331.19
67.00, 126802.21, 9906.77, 338.30
68.00, 126089.84, 10248.59, 345.49
69.00, 125376.78, 10597.63, 352.77
70.00, 124663.05, 10954.00, 360.14
71.00, 123948.74, 11317.78, 367.60
72.00, 123233.95, 11689.06, 375.15
73.00, 122518.71, 12067.93, 382.79
74.00, 121803.04, 12454.49, 390.54
75.00, 121086.95, 12848.85, 398.39
76.00, 120370.45, 13251.10, 406.34
77.00, 119653.56, 13661.35, 414.39
78.00, 118936.30, 14079.71, 422.55
79.00, 118218.68, 14506.27, 430.82
80.00, 117500.72, 14941.15, 439.19
81.00, 116782.44, 15384.46, 447.68
82.00, 116063.84, 15836.31, 456.29
83.00, 115344.94, 16296.82, 465.00
84.00, 114625.76, 16766.10, 473.84
85.00, 113906.31, 17244.28, 482.80
86.00, 113186.60, 17731.47, 491.88
87.00, 112466.65, 18227.79, 501.08
88.00, 111746.47, 18733.38, 510.41
89.00, 111026.06, 19248.35, 519.87
90.00, 110305.46, 19772.85, 529.46
91.00, 109584.66, 20306.99, 539.18
92.00, 108863.69, 20850.92, 549.03
93.00, 108142.57, 21404.77, 559.03
94.00, 107421.30, 21968.68, 569.16
95.00, 106699.89, 22542.79, 579.44
96.00, 105978.34, 23127.24, 589.86
97.00, 105256.68, 23722.18, 600.42
98.00, 104534.90, 24327.75, 611.14
99.00, 103813.01, 24944.12, 622.01
100.00, 103091.01, 25571.42, 633.03
101.00, 102368.93, 26209.81, 644.20
102.00, 101646.75, 26859.45, 655.54
103.00, 100924.48, 27520.50, 667.04
104.00, 100202.14, 28193.13, 678.69
105.00, 99479.73, 28877.49, 690.52
106.00, 98757.24, 29573.75, 702.51
107.00, 98034.69, 30282.08, 714.68
108.00, 97312.08, 31002.67, 727.02
109.00, 96589.42, 31735.67, 739.53
110.00, 95866.71, 32481.27, 752.23
111.00, 95143.96, 33239.65, 765.10
112.00, 94421.18, 34010.99, 778.17
113.00, 93698.37, 34795.48, 791.42
114.00, 92975.54, 35593.31, 804.86
115.00, 92252.68, 36404.67, 818.50
116.00, 91529.80, 37229.76, 832.33
117.00, 90806.89, 38068.78, 846.36
118.00, 90083.96, 38921.92, 860.60
119.00, 89361.01, 39789.40, 875.04
120.00, 88638.05, 40671.41, 889.70
121.00, 87915.06, 41568.18, 904.56
122.00, 87192.06, 42479.91, 919.65
123.00, 86469.04, 43406.83, 934.95
124.00, 85746.01, 44349.16, 950.48
125.00, 85022.96, 45307.12, 966.23
126.00, 84299.90, 46280.95, 982.22
127.00, 83576.82, 47270.87, 998.44
128.00, 82853.73, 48277.12, 1014.91
129.00, 82130.61, 49299.95, 1031.61
130.00, 81407.46, 50339.59, 1048.56
131.00, 80684.29, 51396.31, 1065.77
132.00, 79961.10, 52470.35, 1083.23
133.00, 79237.87, 53561.97, 1100.95
134.00, 78514.62, 54671.43, 1118.94
135.00, 77791.36, 55799.01, 1137.19
136.00, 77068.07, 56944.97, 1155.72
137.00, 76344.77, 58109.59, 1174.54
138.00, 75621.45, 59293.15, 1193.63
139.00, 74898.12, 60495.95, 1213.02
140.00, 74174.78, 61718.27, 1232.70
141.00, 73451.44, 62960.41, 1252.69
142.00, 72728.08, 64222.68, 1272.98
143.00, 72004.72, 65505.38, 1293.58
144.00, 71281.36, 66808.84, 1314.51
145.00, 70557.99, 68133.37, 1335.76
146.00, 69834.62, 69479.31, 1357.34
147.00, 69111.25, 70846.98, 1379.26
148.00, 68387.88, 72236.73, 1401.52
149.00, 67664.50, 73648.91, 1424.13
150.00, 66941.13, 75083.87, 1447.11
151.00, 66217.75, 76541.98, 1470.45
152.00, 65494.38, 78023.60, 1494.17
153.00, 64771.00, 79529.12, 1518.26
154.00, 64047.62, 81058.92, 1542.75
155.00, 63324.25, 82613.39, 1567.64
156.00, 62600.87, 84192.93, 1592.93
157.00, 61877.49, 85797.96, 1618.64
158.00, 61154.11, 87428.91, 1644.78
159.00, 60430.74, 89086.19, 1671.35
160.00, 26261.29, 90770.25, 1698.36
161.00, 26054.79, 92475.02, 1712.78
162.00, 25848.29, 94194.30, 1727.40
163.00, 25641.79, 95928.29, 1742.24
164.00, 25435.29, 97677.21, 1757.29
165.00, 25228.79, 99441.26, 1772.56
166.00, 25022.29, 101220.68, 1788.06
167.00, 24815.79, 103015.68, 1803.77
168.00, 24609.29, 104826.49, 1819.71
169.00, 24402.79, 106653.34, 1835.89
170.00, 24196.29, 108496.45, 1852.30
171.00, 23989.79, 110356.07, 1868.94
172.00, 23783.29, 112232.44, 1885.83
173.00, 23576.79, 114125.79, 1902.96
174.00, 23370.29, 116036.37, 1920.33
175.00, 23163.79, 117964.43, 1937.96
176.00, 22957.29, 119910.23, 1955.85
177.00, 22750.79, 121874.02, 1973.99
