time, mass, altitude, speed
1.00, 311205.29, 1.80, 3.68
2.00, 310410.64, 7.35, 7.45
3.00, 309616.15, 16.70, 11.25
4.00, 308821.88, 29.86, 15.09
5.00, 308027.91, 46.88, 18.96
6.00, 307234.32, 67.79, 22.85
7.00, 306441.17, 92.60, 26.78
8.00, 305648.55, 121.34, 30.73
9.00, 304856.54, 154.06, 34.70
10.00, 304065.20, 190.76, 38.71
11.00, 303274.61, 231.48, 42.73
12.00, 302484.84, 276.24, 46.79
13.00, 301695.97, 325.06, 50.86
14.00, 300908.08, 377.96, 54.96
15.00, 300121.22, 434.97, 59.07
16.00, 299335.48, 496.11, 63.21
17.00, 298550.91, 561.40, 67.37
18.00, 297767.60, 630.86, 71.54
19.00, 296985.60, 704.50, 75.74
20.00, 296204.97, 782.34, 79.95
21.00, 295425.79, 864.40, 84.17
22.00, 294648.11, 950.69, 88.42
23.00, 293872.00, 1041.23, 92.67
24.00, 293097.50, 1136.03, 96.94
25.00, 292324.67, 1235.11, 101.22
26.00, 291553.57, 1338.47, 105.51
27.00, 290784.25, 1446.14, 109.82
28.00, 290016.76, 1558.11, 114.13
29.00, 289251.13, 1674.40, 118.46
30.00, 288487.42, 1795.01, 122.79
31.00, 287725.67, 1919.96, 127.13
32.00, 286965.91, 2049.25, 131.47
33.00, 286208.18, 2182.89, 135.82
34.00, 285452.51, 2320.89, 140.18
35.00, 284698.94, 2463.24, 144.55
36.00, 283947.50, 2609.96, 148.91
37.00, 283198.20, 2761.05, 153.28
38.00, 282451.07, 2916.51, 157.66
39.00, 281706.14, 3076.34, 162.03
40.00, 280963.41, 3240.55, 166.41
41.00, 280222.91, 3409.14, 170.79
42.00, 279484.65, 3582.11, 175.18
43.00, 278748.63, 3759.46, 179.56
44.00, 278014.86, 3941.19, 183.94
45.00, 277283.35, 4127.30, 188.32
46.00, 276554.10, 4317.80, 192.71
47.00, 275827.11, 4512.67, 197.09
48.00, 275102.38, 4711.93, 201.47
49.00, 274379.90, 4915.56, 205.85
50.00, 273659.65, 5123.58, 210.23
51.00, 272941.65, 5335.97, 214.61
52.00, 272225.86, 5552.74, 218.99
53.00, 271512.27, 5773.88, 223.36
54.00, 270800.88, 5999.40, 227.74
55.00, 270091.65, 6229.29, 232.11
56.00, 269384.57, 6463.56, 236.49
57.00, 268679.62, 6702.19, 240.86
58.00, 267976.76, 6945.20, 245.23
59.00, 267275.98, 7192.58, 249.61
60.00, 266577.25, 7444.33, 253.98
61.00, 265880.52, 7700.45, 258.36
62.00, 265185.78, 7960.94, 262.73
63.00, 264492.99, 8225.81, 267.11
64.00, 263802.11, 8495.06, 271.49
65.00, 263113.11, 8768.68, 275.87
66.00, 262425.95, 9046.69, 280.26
67.00, 261740.59, 9329.08, 284.65
68.00, 261056.98, 9615.86, 289.04
69.00, 260375.10, 9907.03, 293.44
70.00, 259694.88, 10202.60, 297.85
71.00, 259016.30, 10502.59, 302.26
72.00, 258339.30, 10806.98, 306.68
73.00, 257663.82, 11115.80, 311.11
74.00, 256989.52, 11429.06, 315.56
75.00, 256316.30, 11746.77, 320.03
76.00, 255644.11, 12068.95, 324.52
77.00, 254972.92, 12395.63, 329.03
78.00, 254302.70, 12726.83, 333.56
79.00, 253633.41, 13062.57, 338.11
80.00, 252965.02, 13402.87, 342.69
81.00, 252297.48, 13747.76, 347.30
82.00, 251630.78, 14097.26, 351.93
83.00, 250964.88, 14451.40, 356.59
84.00, 250299.74, 14810.21, 361.27
85.00, 249635.35, 15173.72, 365.98
86.00, 248971.66, 15541.94, 370.72
87.00, 248308.64, 15914.92, 375.50
88.00, 247646.29, 16292.69, 380.30
89.00, 246984.55, 16675.27, 385.14
90.00, 246323.41, 17062.69, 390.00
91.00, 245662.85, 17455.00, 394.90
92.00, 245002.83, 17852.22, 399.84
93.00, 244343.34, 18254.39, 404.81
94.00, 243684.35, 18661.55, 409.82
95.00, 243025.84, 19073.72, 414.86
96.00, 242367.79, 19490.95, 419.94
97.00, 241710.17, 19913.27, 425.06
98.00, 241052.94, 20340.73, 430.22
99.00, 240396.05, 20773.37, 435.42
100.00, 239739.46, 21211.21, 440.66
101.00, 239083.18, 21654.32, 445.94
102.00, 238427.18, 22102.72, 451.27
103.00, 237771.45, 22556.47, 456.64
104.00, 237115.98, 23015.61, 462.06
105.00, 236460.76, 23480.18, 467.52
106.00, 235805.78, 23950.23, 473.02
107.00, 235151.02, 24425.80, 478.57
108.00, 234496.48, 24906.94, 484.17
109.00, 233842.15, 25393.70, 489.82
110.00, 233188.01, 25886.12, 495.51
111.00, 232534.06, 26384.25, 501.26
112.00, 231880.29, 26888.15, 507.05
113.00, 231226.69, 27397.85, 512.89
114.00, 230573.25, 27913.42, 518.78
115.00, 229919.97, 28434.89, 524.72
116.00, 229266.83, 28962.32, 530.71
117.00, 228613.84, 29495.77, 536.75
118.00, 227960.98, 30035.28, 542.85
119.00, 227308.25, 30580.90, 549.00
120.00, 226655.64, 31132.69, 555.20
121.00, 226003.15, 31690.70, 561.45
122.00, 225350.76, 32254.99, 567.76
123.00, 224698.49, 32825.60, 574.13
124.00, 224046.31, 33402.60, 580.54
125.00, 223394.24, 33986.03, 587.02
126.00, 222742.25, 34575.97, 593.55
127.00, 222090.35, 35172.45, 600.13
128.00, 221438.53, 35775.53, 606.77
129.00, 220786.80, 36385.28, 613.47
130.00, 220135.13, 37001.76, 620.23
131.00, 219483.54, 37625.01, 627.05
132.00, 218832.02, 38255.10, 633.92
133.00, 218180.57, 38892.08, 640.86
134.00, 217529.17, 39536.02, 647.85
135.00, 216877.84, 40186.98, 654.90
136.00, 216226.56, 40845.01, 662.02
137.00, 215575.34, 41510.18, 669.19
138.00, 214924.16, 42182.55, 676.43
139.00, 214273.04, 42862.17, 683.73
140.00, 213621.96, 43549.12, 691.09
