time, mass, altitude, speed
1.00, 311300.65, 1.48, 3.03
2.00, 310601.36, 6.06, 6.14
3.00, 309902.18, 13.76, 9.28
4.00, 309203.17, 24.62, 12.44
5.00, 308504.39, 38.65, 15.63
6.00, 307805.90, 55.89, 18.85
7.00, 307107.75, 76.36, 22.09
8.00, 306410.01, 100.08, 25.36
9.00, 305712.73, 127.07, 28.64
10.00, 305015.97, 157.37, 31.95
11.00, 304319.79, 190.99, 35.28
12.00, 303624.25, 227.95, 38.64
13.00, 302929.40, 268.27, 42.01
14.00, 302235.29, 311.97, 45.40
15.00, 301541.99, 359.07, 48.81
16.00, 300849.56, 409.60, 52.24
17.00, 300158.03, 463.55, 55.68
18.00, 299467.47, 520.96, 59.14
19.00, 298777.93, 581.84, 62.62
20.00, 298089.46, 646.20, 66.11
21.00, 297402.12, 714.06, 69.61
22.00, 296715.94, 785.43, 73.13
23.00, 296030.98, 860.32, 76.66
24.00, 295347.28, 938.75, 80.20
25.00, 294664.89, 1020.72, 83.75
26.00, 293983.86, 1106.25, 87.31
27.00, 293304.21, 1195.34, 90.88
28.00, 292626.00, 1288.01, 94.46
29.00, 291949.26, 1384.26, 98.05
30.00, 291274.03, 1484.10, 101.64
31.00, 290600.34, 1587.54, 105.24
32.00, 289928.23, 1694.58, 108.85
33.00, 289257.73, 1805.23, 112.46
34.00, 288588.87, 1919.50, 116.08
35.00, 287921.67, 2037.38, 119.70
36.00, 287256.16, 2158.88, 123.32
37.00, 286592.37, 2284.01, 126.95
38.00, 285930.32, 2412.76, 130.58
39.00, 285270.02, 2545.15, 134.21
40.00, 284611.50, 2681.16, 137.84
41.00, 283954.77, 2820.81, 141.47
42.00, 283299.84, 2964.08, 145.11
43.00, 282646.73, 3110.99, 148.74
44.00, 281995.45, 3261.53, 152.37
45.00, 281346.01, 3415.70, 156.00
46.00, 280698.41, 3573.50, 159.63
47.00, 280052.66, 3734.93, 163.26
48.00, 279408.76, 3899.98, 166.89
49.00, 278766.71, 4068.66, 170.51
50.00, 278126.51, 4240.96, 174.14
51.00, 277488.15, 4416.88, 177.76
52.00, 276851.64, 4596.42, 181.37
53.00, 276216.97, 4779.58, 184.99
54.00, 275584.13, 4966.35, 188.60
55.00, 274953.10, 5156.72, 192.21
56.00, 274323.89, 5350.71, 195.82
57.00, 273696.47, 5548.30, 199.42
58.00, 273070.83, 5749.49, 203.03
59.00, 272446.96, 5954.28, 206.63
60.00, 271824.84, 6162.67, 210.22
61.00, 271204.45, 6374.65, 213.82
62.00, 270585.77, 6590.22, 217.41
63.00, 269968.78, 6809.39, 221.01
64.00, 269353.46, 7032.15, 224.60
65.00, 268739.78, 7258.49, 228.19
66.00, 268127.73, 7488.42, 231.78
67.00, 267517.27, 7721.94, 235.37
68.00, 266908.37, 7959.05, 238.96
69.00, 266301.02, 8199.74, 242.55
70.00, 265695.18, 8444.02, 246.14
71.00, 265090.81, 8691.90, 249.73
72.00, 264487.90, 8943.36, 253.33
73.00, 263886.41, 9198.42, 256.93
74.00, 263286.31, 9457.08, 260.53
75.00, 262687.57, 9719.33, 264.14
76.00, 262090.14, 9985.20, 267.75
77.00, 261494.01, 10254.68, 271.37
78.00, 260899.13, 10527.77, 274.99
79.00, 260305.47, 10804.49, 278.62
80.00, 259712.97, 11084.85, 282.26
81.00, 259121.41, 11368.85, 285.92
82.00, 258530.67, 11656.50, 289.59
83.00, 257940.73, 11947.84, 293.28
84.00, 257351.56, 12242.87, 296.99
85.00, 256763.14, 12541.62, 300.72
86.00, 256175.44, 12844.10, 304.47
87.00, 255588.44, 13150.34, 308.24
88.00, 255002.10, 13460.36, 312.03
89.00, 254416.41, 13774.18, 315.84
90.00, 253831.34, 14091.82, 319.68
91.00, 253246.87, 14413.31, 323.54
92.00, 252662.98, 14738.66, 327.43
93.00, 252079.64, 15067.91, 331.34
94.00, 251496.83, 15401.09, 335.28
95.00, 250914.54, 15738.21, 339.25
96.00, 250332.74, 16079.31, 343.24
97.00, 249751.41, 16424.41, 347.26
98.00, 249170.54, 16773.54, 351.31
99.00, 248590.10, 17126.73, 355.39
100.00, 248010.08, 17484.01, 359.50
101.00, 247430.46, 17845.41, 363.64
102.00, 246851.22, 18210.97, 367.81
103.00, 246272.35, 18580.70, 372.01
104.00, 245693.83, 18954.66, 376.25
105.00, 245115.64, 19332.86, 380.52
106.00, 244537.78, 19715.34, 384.83
107.00, 243960.22, 20102.14, 389.16
108.00, 243382.92, 20493.30, 393.54
109.00, 242805.85, 20888.84, 397.95
110.00, 242228.99, 21288.80, 402.40
111.00, 241652.36, 21693.24, 406.89
112.00, 241075.92, 22102.17, 411.41
113.00, 240499.68, 22515.64, 415.98
114.00, 239923.62, 22933.69, 420.58
115.00, 239347.74, 23356.36, 425.23
116.00, 238772.03, 23783.69, 429.91
117.00, 238196.48, 24215.72, 434.64
118.00, 237621.09, 24652.50, 439.41
119.00, 237045.85, 25094.05, 444.22
120.00, 236470.75, 25540.43, 449.07
121.00, 235895.78, 25991.67, 453.96
122.00, 235320.95, 26447.82, 458.90
123.00, 234746.24, 26908.93, 463.88
124.00, 234171.64, 27375.03, 468.90
125.00, 233597.16, 27846.18, 473.97
126.00, 233022.79, 28322.40, 479.08
127.00, 232448.52, 28803.76, 484.24
128.00, 231874.35, 29290.29, 489.44
129.00, 231300.28, 29782.04, 494.69
130.00, 230726.29, 30279.05, 499.99
131.00, 230152.39, 30781.38, 505.33
132.00, 229578.58, 31289.07, 510.72
133.00, 229004.84, 31802.17, 516.16
134.00, 228431.18, 32320.72, 521.64
135.00, 227857.59, 32844.77, 527.18
136.00, 227284.06, 33374.37, 532.76
137.00, 226710.61, 33909.57, 538.39
138.00, 226137.21, 34450.42, 544.07
139.00, 225563.88, 34996.96, 549.80
140.00, 224990.60, 35549.26, 555.58
